"","SiteID","Season","Year","X","SiteCodeB","SiteLength","Date","JD","PairedEvent","NumPass","MeanFL","MinMarkLength","Species","Mark","Recap","Run1Cap","Run2Cap","CE","CEAbund","PetersonAbund","SE","Upper95","Lower95","CEgroup","distinct","P.Run2Cap","SiteCodeC","MeanCEAbund","MeanCE","LowerCE","UpperCE","Density_MeanCE","AgeClass","SampleType","Section","BassSection","BassExperiment"
"28","EU9_B","Spring",2019,7,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EU9_B_2019_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"Age1andUp","Abundance","EU9","EU9",NA
"29","EW17","Spring",2020,8,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EW17_2020_Spring",NA,"Spring",0,0.2375,-0.0196885482157658,0.494688548215766,0,"Age0","Abundance","EW17","EW17",NA
"30","EW17","Spring",2020,8,"EW17 2020 A",350,"2020-06-25",177,"A",2,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,2,"EW17_2020_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"All","Abundance","EW17","EW17",NA
"31","EW17","Spring",2020,8,"EW17 2020 A",350,"2020-06-25",177,"A",2,191,NA,"RBT",15,0,15,1,NA,NA,NA,NA,NA,NA,2,"EW17_2020_Spring",0.0666666666666667,"Spring 2",57.9399141630901,0.258888888888889,0.16824845395809,0.349529323819688,0.165542611894543,"Age1andUp","Abundance","EW17","EW17",NA
"32","EW17","Spring",2020,8,"EW17 2020 A",350,"2020-06-25",177,"A",2,191,NA,"RBT",15,0,15,1,NA,NA,NA,NA,NA,NA,2,"EW17_2020_Spring",0.0666666666666667,"Spring 2",66.1764705882352,0.226666666666667,0.143858116383498,0.309475216949835,0.189075630252101,"Age0andUp","Abundance","EW17","EW17",NA
"33","EW17","Spring",2022,9,"EW17 2022 B",350,"2022-05-18",138,"B",1,171.444444444444,NA,"RBT",18,0,18,0,NA,NA,NA,NA,NA,NA,2,"EW17_2022_Spring",0,"Spring 2",69.5278969957081,0.258888888888889,0.16824845395809,0.349529323819688,0.198651134273452,"Age1andUp","Abundance","EW17","EW17",NA
"34","EW17","Spring",2022,9,"EW17 2022 B",350,"2022-05-18",138,"B",1,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,2,"EW17_2022_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"All","Abundance","EW17","EW17",NA
"35","EW17","Spring",2022,9,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EW17_2022_Spring",NA,"Spring",0,0.2375,-0.0196885482157658,0.494688548215766,0,"Age0","Abundance","EW17","EW17",NA
"36","EW17","Spring",2022,9,"EW17 2022 B",350,"2022-05-18",138,"B",1,171.444444444444,NA,"RBT",18,0,18,0,NA,NA,NA,NA,NA,NA,2,"EW17_2022_Spring",0,"Spring 2",79.4117647058822,0.226666666666667,0.143858116383498,0.309475216949835,0.226890756302521,"Age0andUp","Abundance","EW17","EW17",NA
"37","EW17","Spring",2023,10,"EW17 2023 C",350,"2023-06-13",164,"C",1,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,2,"EW17_2023_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"All","Abundance","EW17","EW17",NA
"38","EW17","Spring",2023,10,"EW17 2023 C",350,"2023-06-13",164,"C",1,173.4,NA,"RBT",5,0,5,0,NA,NA,NA,NA,NA,NA,2,"EW17_2023_Spring",0,"Spring 2",22.0588235294117,0.226666666666667,0.143858116383498,0.309475216949835,0.0630252100840335,"Age0andUp","Abundance","EW17","EW17",NA
"39","EW17","Spring",2023,10,"EW17 2023 C",350,"2023-06-13",164,"C",1,173.4,NA,"RBT",5,0,5,0,NA,NA,NA,NA,NA,NA,2,"EW17_2023_Spring",0,"Spring 2",19.31330472103,0.258888888888889,0.16824845395809,0.349529323819688,0.0551808706315144,"Age1andUp","Abundance","EW17","EW17",NA
"40","EW17","Spring",2023,10,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EW17_2023_Spring",NA,"Spring",0,0.2375,-0.0196885482157658,0.494688548215766,0,"Age0","Abundance","EW17","EW17",NA
"41","EW17_A","Spring",2021,11,"EW17_A 2021 A",507,"2021-05-25",145,"A",2,219.895833333333,176,"RBT",23,12,24,24,0.52,46.15,45,5.78569080487393,56,34,2,"EW17_A_2021_Spring",1,"Spring 2",92.7038626609442,0.258888888888889,0.16824845395809,0.349529323819688,0.18284785534703,"Age1andUp","Abundance","EW17","EW17",NA
"42","EW17_A","Spring",2021,11,"EW17_A 2021 A",507,"2021-05-25",145,"A",2,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,2,"EW17_A_2021_Spring",NA,"Spring 2",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"All","Abundance","EW17","EW17",NA
"43","EW17_A","Spring",2021,11,"EW17_A 2021 A",507,"2021-05-25",145,"A",2,219.895833333333,176,"RBT",23,12,24,24,0.52,46.15,45,5.78569080487393,56,34,2,"EW17_A_2021_Spring",1,"Spring 2",105.882352941176,0.226666666666667,0.143858116383498,0.309475216949835,0.208840932822833,"Age0andUp","Abundance","EW17","EW17",NA
"44","EW17_A","Spring",2021,11,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2,"EW17_A_2021_Spring",NA,"Spring",0,0.2375,-0.0196885482157658,0.494688548215766,0,"Age0","Abundance","EW17","EW17",NA
"45","MO_A","Fall",2017,12,"MO_A 2017 A",1190,"2017-10-19",292,"A",1,155.178571428571,NA,"RBT",28,0,28,0,NA,NA,NA,NA,NA,NA,1,"MO_A_2017_Fall",0,"Fall 1",74.2049469964665,0.377333333333333,0.250791479914527,0.50387518675214,0.0623570983163584,"Age1andUp","Abundance","MO_bass","MO_pre","before"
"46","MO_A","Fall",2017,12,"MO_A 2017 A",1190,"2017-10-19",292,"A",1,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,1,"MO_A_2017_Fall",NA,"Fall 1",0,0.377333333333333,0.250791479914527,0.50387518675214,0,"All","Abundance","MO_bass","MO_pre","before"
"47","MO_A","Fall",2017,12,"MO_A 2017 A",1190,"2017-10-19",292,"A",1,134.770833333333,NA,"RBT",96,0,96,0,NA,NA,NA,NA,NA,NA,1,"MO_A_2017_Fall",0,"Fall 1",362.666666666667,0.264705882352941,0.208935518405683,0.3204762463002,0.304761904761905,"Age0andUp","Abundance","MO_bass","MO_pre","before"
"48","MO_A","Fall",2017,12,"MO_A 2017 A",1190,"2017-10-19",292,"A",1,126.367647058824,NA,"RBT",68,0,68,0,NA,NA,NA,NA,NA,NA,1,"MO_A_2017_Fall",0,"Fall",227.932960893855,0.298333333333333,0.231709442546849,0.364957224119818,0.191540303272147,"Age0","Abundance","MO_bass","MO_pre","before"
"49","MO_A","Spring",2017,13,"MO_A 2017 B",1190,"2017-06-21",172,"B",2,188.583333333333,165,"RBT",17,2,17,7,0.12,141.67,47,17.3205080756888,81,13,1,"MO_A_2017_Spring",0.411764705882353,"Spring 1",65.6652360515021,0.258888888888889,0.16824845395809,0.349529323819688,0.0551808706315144,"Age1andUp","Abundance","MO_bass","MO_pre","before"
"50","MO_A","Spring",2017,13,"MO_A 2017 B",1190,"2017-06-21",172,"B",2,100.927083333333,73,"RBT",18,2,31,65,0.11,281.82,417,187.381962845947,785,49,1,"MO_A_2017_Spring",2.09677419354839,"Spring 1",136.764705882353,0.226666666666667,0.143858116383498,0.309475216949835,0.114928324270885,"Age0andUp","Abundance","MO_bass","MO_pre","before"
"51","MO_A","Spring",2017,13,"MO_A 2017 B",1190,"2017-06-21",172,"B",2,105,NA,"Bass",0,0,1,0,NA,NA,NA,NA,NA,NA,1,"MO_A_2017_Spring",0,"Spring 1",3.86266094420601,0.258888888888889,0.16824845395809,0.349529323819688,0.00324593356655967,"All","Abundance","MO_bass","MO_pre","before"
"52","MO_A","Spring",2017,13,"MO_A 2017 B",1190,"2017-06-21",172,"B",2,71.7083333333333,NA,"RBT",1,0,14,58,NA,NA,NA,NA,NA,NA,1,"MO_A_2017_Spring",4.14285714285714,"Spring",58.9473684210526,0.2375,-0.0196885482157658,0.494688548215766,0.0495356037151703,"Age0","Abundance","MO_bass","MO_pre","before"
"53","MO_B","Spring",2018,14,"MO_B 2018 A",810,"2018-06-28",179,"A",2,129.963265306122,58,"RBT",301,27,351,139,0.09,3900,1509,238.888229527737,1978,1040,1,"MO_B_2018_Spring",0.396011396011396,"Spring 1",1548.5294117647,0.226666666666667,0.143858116383498,0.309475216949835,1.91176470588235,"Age0andUp","Abundance","MO_bass","MO_pre","before"
"54","MO_B","Spring",2018,14,"MO_B 2018 A",810,"2018-06-28",179,"A",2,179.141304347826,136,"RBT",214,23,230,46,0.11,2090.91,420,55.5223084544502,529,311,1,"MO_B_2018_Spring",0.2,"Spring 1",888.412017167382,0.258888888888889,0.16824845395809,0.349529323819688,1.0968049594659,"Age1andUp","Abundance","MO_bass","MO_pre","before"
"55","MO_B","Spring",2018,14,"MO_B 2018 A",810,"2018-06-28",179,"A",2,197.4,NA,"Bass",0,4,16,4,NA,NA,NA,NA,NA,NA,1,"MO_B_2018_Spring",0.25,"Spring 1",61.8025751072961,0.258888888888889,0.16824845395809,0.349529323819688,0.0762994754411063,"All","Abundance","MO_bass","MO_pre","before"
"56","MO_B","Spring",2018,14,"MO_B 2018 A",810,"2018-06-28",179,"A",2,66.5373831775701,58,"RBT",87,4,121,93,0.05,2420,1653,638.25420223189,2907,399,1,"MO_B_2018_Spring",0.768595041322314,"Spring",509.473684210526,0.2375,-0.0196885482157658,0.494688548215766,0.628979857050033,"Age0","Abundance","MO_bass","MO_pre","before"
"57","MO_C","Fall",2018,15,"MO_C 2018 A",770,"2018-10-16",289,"A",1,214,NA,"Bass",3,0,3,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2018_Fall",0,"Fall 1",7.9505300353357,0.377333333333333,0.250791479914527,0.50387518675214,0.0103253636822541,"All","Abundance","MO_bass","MO_pre","before"
"58","MO_C","Fall",2018,15,"MO_C 2018 A",770,"2018-10-16",289,"A",1,112.148648648649,NA,"RBT",344,0,370,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2018_Fall",0,"Fall",1240.22346368715,0.298333333333333,0.231709442546849,0.364957224119818,1.61067982297033,"Age0","Abundance","MO_bass","MO_pre","before"
"59","MO_C","Fall",2018,15,"MO_C 2018 A",770,"2018-10-16",289,"A",1,123.251585623679,NA,"RBT",444,0,473,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2018_Fall",0,"Fall 1",1786.88888888889,0.264705882352941,0.208935518405683,0.3204762463002,2.32063492063492,"Age0andUp","Abundance","MO_bass","MO_pre","before"
"60","MO_C","Fall",2018,15,"MO_C 2018 A",770,"2018-10-16",289,"A",1,163.135922330097,NA,"RBT",100,0,103,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2018_Fall",0,"Fall 1",272.968197879859,0.377333333333333,0.250791479914527,0.50387518675214,0.354504153090726,"Age1andUp","Abundance","MO_bass","MO_pre","before"
"61","MO_C","Fall",2019,16,"MO_C 2019 C",770,"2019-10-15",288,"C",1,88.3333333333333,NA,"Bass",0,0,15,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2019_Fall",0,"Fall 1",39.7526501766785,0.377333333333333,0.250791479914527,0.50387518675214,0.0516268184112708,"All","Abundance","MO_bass","MO_pre","before"
"62","MO_C","Fall",2019,16,"MO_C 2019 C",770,"2019-10-15",288,"C",1,139.434210526316,NA,"RBT",76,0,76,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2019_Fall",0,"Fall 1",287.111111111111,0.264705882352941,0.208935518405683,0.3204762463002,0.372871572871573,"Age0andUp","Abundance","MO_bass","MO_pre","before"
"63","MO_C","Fall",2019,16,"MO_C 2019 C",770,"2019-10-15",288,"C",1,129.77358490566,NA,"RBT",53,0,53,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2019_Fall",0,"Fall",177.653631284916,0.298333333333333,0.231709442546849,0.364957224119818,0.230719001668723,"Age0","Abundance","MO_bass","MO_pre","before"
"64","MO_C","Fall",2019,16,"MO_C 2019 C",770,"2019-10-15",288,"C",1,161.695652173913,NA,"RBT",23,0,23,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2019_Fall",0,"Fall 1",60.9540636042403,0.377333333333333,0.250791479914527,0.50387518675214,0.0791611215639485,"Age1andUp","Abundance","MO_bass","MO_pre","before"
"65","MO_C","Spring",2019,17,"MO_C 2019 B",770,"2019-06-25",176,"B",1,185.647058823529,NA,"RBT",17,0,17,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2019_Spring",0,"Spring 1",65.6652360515021,0.258888888888889,0.16824845395809,0.349529323819688,0.0852795273396131,"Age1andUp","Abundance","MO_bass","MO_pre","before"
"66","MO_C","Spring",2019,17,"MO_C 2019 B",770,"2019-06-25",176,"B",1,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2019_Spring",NA,"Spring 1",0,0.258888888888889,0.16824845395809,0.349529323819688,0,"All","Abundance","MO_bass","MO_pre","before"
"67","MO_C","Spring",2019,17,NA,NA,NA,NA,NA,NA,NA,NA,"RBT",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1,"MO_C_2019_Spring",NA,"Spring",0,0.2375,-0.0196885482157658,0.494688548215766,0,"Age0","Abundance","MO_bass","MO_pre","before"
"68","MO_C","Spring",2019,17,"MO_C 2019 B",770,"2019-06-25",176,"B",1,185.647058823529,NA,"RBT",17,0,17,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2019_Spring",0,"Spring 1",74.9999999999999,0.226666666666667,0.143858116383498,0.309475216949835,0.0974025974025973,"Age0andUp","Abundance","MO_bass","MO_pre","before"
"69","MO_C_1","Fall",2020,18,"MO_C_1 2020 A",160,"2020-10-13",287,"A",2,126.590909090909,100,"RBT",17,3,17,5,0.18,94.44,26,6.14817045957576,38,14,1,"MO_C_1_2020_Fall",0.294117647058824,"Fall 1",45.0530035335689,0.377333333333333,0.250791479914527,0.50387518675214,0.281581272084806,"Age1andUp","Abundance","MO_bass","MO_below","below"
"70","MO_C_1","Fall",2020,18,"MO_C_1 2020 A",160,"2020-10-13",287,"A",2,106,76,"RBT",61,18,63,40,0.3,210,133,18.2500787384937,169,97,1,"MO_C_1_2020_Fall",0.634920634920635,"Fall",211.173184357542,0.298333333333333,0.231709442546849,0.364957224119818,1.31983240223464,"Age0","Abundance","MO_bass","MO_below","below"
"71","MO_C_1","Fall",2020,18,"MO_C_1 2020 A",160,"2020-10-13",287,"A",2,86,NA,"Bass",0,0,1,1,NA,NA,NA,NA,NA,NA,1,"MO_C_1_2020_Fall",1,"Fall 1",2.65017667844523,0.377333333333333,0.250791479914527,0.50387518675214,0.0165636042402827,"All","Abundance","MO_bass","MO_below","below"
"72","MO_C_1","Fall",2020,18,"MO_C_1 2020 A",160,"2020-10-13",287,"A",2,109.624,76,"RBT",78,21,80,45,0.27,296.3,164,21.1324043212478,206,122,1,"MO_C_1_2020_Fall",0.5625,"Fall 1",302.222222222222,0.264705882352941,0.208935518405683,0.3204762463002,1.88888888888889,"Age0andUp","Abundance","MO_bass","MO_below","below"
"73","MO_C_2","Fall",2020,19,"MO_C_2 2020 A",105,"2020-10-13",287,"A",2,104.412162162162,72,"RBT",88,16,92,56,0.18,511.11,297,52.996049993173,401,193,1,"MO_C_2_2020_Fall",0.608695652173913,"Fall",308.379888268157,0.298333333333333,0.231709442546849,0.364957224119818,2.93695131683959,"Age0","Abundance","MO_bass","MO_below","below"
"74","MO_C_2","Fall",2020,19,"MO_C_2 2020 A",105,"2020-10-13",287,"A",2,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,1,"MO_C_2_2020_Fall",NA,"Fall 1",0,0.377333333333333,0.250791479914527,0.50387518675214,0,"All","Abundance","MO_bass","MO_below","below"
"75","MO_C_2","Fall",2020,19,"MO_C_2 2020 A",105,"2020-10-14",288,"A",2,126.375,NA,"RBT",4,0,4,4,NA,NA,NA,NA,NA,NA,1,"MO_C_2_2020_Fall",1,"Fall 1",10.6007067137809,0.377333333333333,0.250791479914527,0.50387518675214,0.100959111559818,"Age1andUp","Abundance","MO_bass","MO_below","below"
"76","MO_C_2","Fall",2020,19,"MO_C_2 2020 A",105,"2020-10-13",287,"A",2,105.538461538462,72,"RBT",92,16,96,60,0.17,564.71,333,60.3885152963717,452,214,1,"MO_C_2_2020_Fall",0.625,"Fall 1",362.666666666667,0.264705882352941,0.208935518405683,0.3204762463002,3.45396825396826,"Age0andUp","Abundance","MO_bass","MO_below","below"
"77","MO_C_3","Fall",2020,20,"MO_C_3 2020 A",55,"2020-10-13",287,"A",1,NA,NA,"Bass",0,0,0,0,NA,NA,NA,NA,NA,NA,1,"MO_C_3_2020_Fall",NA,"Fall 1",0,0.377333333333333,0.250791479914527,0.50387518675214,0,"All","Abundance","MO_above","MO_above","after"
"78","MO_C_3","Fall",2020,20,"MO_C_3 2020 A",55,"2020-10-13",287,"A",1,117.333333333333,NA,"RBT",3,0,3,0,NA,NA,NA,NA,NA,NA,1,"MO_C_3_2020_Fall",0,"Fall 1",7.9505300353357,0.377333333333333,0.250791479914527,0.50387518675214,0.144555091551558,"Age1andUp","Abundance","MO_above","MO_above","after"
"79","MO_C_3","Fall",2020,20,"MO_C_3 2020 A",55,"2020-10-13",287,"A",1,78.9769230769231,NA,"RBT",114,0,130,0,NA,NA,NA,NA,NA,NA,1,"MO_C_3_2020_Fall",0,"Fall",435.754189944135,0.298333333333333,0.231709442546849,0.364957224119818,7.92280345352972,"Age0","Abundance","MO_above","MO_above","after"
"80","MO_C_3","Fall",2020,20,"MO_C_3 2020 A",55,"2020-10-13",287,"A",1,79.8421052631579,NA,"RBT",117,0,133,0,NA,NA,NA,NA,NA,NA,1,"MO_C_3_2020_Fall",0,"Fall 1",502.444444444445,0.264705882352941,0.208935518405683,0.3204762463002,9.13535353535354,"Age0andUp","Abundance","MO_above","MO_above","after"
