SiteID,GRTSPointLat,GRTSPointLong,Strata_A,Strata_B,Length,Year,ReddCount,FishPReddEstimate,TotalStreamLength,Strata_A_Length,Strata_B_Length,Strata_A_NumSites,Strata_B_NumSites
PF3,45.181363,-120.395938,PF,Per1,1125,2023,12,2.57,29674,16265,8553,6,4
PF3,45.181363,-120.395938,PF,Per1,1125,2024,10,1.6,29674,16265,8553,5,3
PF4,45.181478,-120.38651,PF,Per1,1061,2019,3,4.57,29674,16265,8553,6,4
PF4,45.181478,-120.38651,PF,Per1,1061,2023,7,2.57,29674,16265,8553,6,4
PF5,45.177463,-120.376022,PF,Per1,1097,2017,13,3.51,29674,16265,8553,5,3
PF5,45.177463,-120.376022,PF,Per1,1097,2018,7,1.96,29674,16265,8553,4,3
PF5,45.177463,-120.376022,PF,Per1,1097,2019,1,4.57,29674,16265,8553,6,4
PF5,45.177463,-120.376022,PF,Per1,1097,2020,14,3.08,29674,16265,8553,4,3
PF5,45.177463,-120.376022,PF,Per1,1097,2021,11,2.05,29674,16265,8553,5,3
PF5,45.177463,-120.376022,PF,Per1,1097,2022,9,2.58,29674,16265,8553,5,3
PF5,45.177463,-120.376022,PF,Per1,1097,2023,7,2.57,29674,16265,8553,6,4
PF5,45.177463,-120.376022,PF,Per1,1097,2024,12,1.6,29674,16265,8553,5,3
PU10,45.159357,-120.286936,PU,Per2,1103,2022,1,2.58,29674,5080,12792,4,5
PU10,45.159357,-120.286936,PU,Per2,1103,2024,5,1.6,29674,5080,12792,4,6
PU11,45.159357,-120.286936,PU,Per2,1103,2018,2,1.96,29674,5080,12792,4,5
PU11,45.159357,-120.286936,PU,Per2,1103,2020,0,3.08,29674,5080,12792,4,5
PU12,45.156109,-120.282226,PU,Per2,1055,2017,3,3.51,29674,5080,12792,3,5
PU12,45.156109,-120.282226,PU,Per2,1055,2018,6,1.96,29674,5080,12792,4,5
PU12,45.156109,-120.282226,PU,Per2,1055,2019,1,4.57,29674,5080,12792,3,5
PU12,45.156109,-120.282226,PU,Per2,1055,2020,0,3.08,29674,5080,12792,4,5
PU12,45.156109,-120.282226,PU,Per2,1055,2021,4,2.05,29674,5080,12792,3,5
PU12,45.156109,-120.282226,PU,Per2,1055,2022,3,2.58,29674,5080,12792,3,5
PU12,45.156109,-120.282226,PU,Per2,1055,2023,5,2.57,29674,5080,12792,3,5
PU12,45.156109,-120.282226,PU,Per2,1055,2024,5,1.6,29674,5080,12792,4,6
PU13,45.155854,-120.273166,PU,Per2,1077,2017,1,3.51,29674,5080,12792,3,5
PU13,45.155854,-120.273166,PU,Per2,1077,2018,0,1.96,29674,5080,12792,4,5
PU13,45.155854,-120.273166,PU,Per2,1077,2019,0,4.57,29674,5080,12792,3,5
PU13,45.155854,-120.273166,PU,Per2,1077,2020,1,3.08,29674,5080,12792,4,5
PU13,45.155854,-120.273166,PU,Per2,1077,2021,2,2.05,29674,5080,12792,3,5
PU13,45.155854,-120.273166,PU,Per2,1077,2022,4,2.58,29674,5080,12792,3,5
PU13,45.155854,-120.273166,PU,Per2,1077,2023,2,2.57,29674,5080,12792,3,5
PU13,45.155854,-120.273166,PU,Per2,1077,2024,1,1.6,29674,5080,12792,4,6
PU14,45.157915,-120.263145,PU,Per2,1138,2017,1,3.51,29674,5080,12792,3,5
PU14,45.157915,-120.263145,PU,Per2,1138,2018,0,1.96,29674,5080,12792,4,5
PU14,45.157915,-120.263145,PU,Per2,1138,2019,0,4.57,29674,5080,12792,3,5
PU14,45.157915,-120.263145,PU,Per2,1138,2020,0,3.08,29674,5080,12792,4,5
PU14,45.157915,-120.263145,PU,Per2,1138,2021,3,2.05,29674,5080,12792,3,5
PU14,45.157915,-120.263145,PU,Per2,1138,2022,2,2.58,29674,5080,12792,3,5
PU14,45.157915,-120.263145,PU,Per2,1138,2023,7,2.57,29674,5080,12792,3,5
PU14,45.157915,-120.263145,PU,Per2,1138,2024,3,1.6,29674,5080,12792,4,6
